month,income_source,income,category,planned_amount
January 2027,Allowance,15000.0,Food,4000.0
January 2027,Allowance,15000.0,Transportation,2000.0
January 2027,Allowance,15000.0,Utilities,1500.0
January 2027,Allowance,15000.0,Savings,3000.0
January 2027,Allowance,15000.0,Entertainment,1500.0
January 2027,Allowance,15000.0,Miscellaneous,1000.0
February 2027,Allowance,15000.0,Food,4200.0
February 2027,Allowance,15000.0,Transportation,2000.0
February 2027,Allowance,15000.0,Utilities,1500.0
February 2027,Allowance,15000.0,Savings,3500.0
February 2027,Allowance,15000.0,Entertainment,1000.0
February 2027,Allowance,15000.0,Miscellaneous,800.0
