date,month,category,description,amount
2027-01-03,January 2027,Food,Groceries at supermarket,1250.0
2027-01-05,January 2027,Transportation,Grab ride to school,180.0
2027-01-07,January 2027,Food,Lunch with classmates,320.0
2027-01-10,January 2027,Utilities,Electricity bill,900.0
2027-01-12,January 2027,Entertainment,Movie tickets,450.0
2027-01-15,January 2027,Food,Weekly groceries,1400.0
2027-01-18,January 2027,Miscellaneous,Notebook and pens,150.0
2027-01-20,January 2027,Transportation,Jeepney fare for the week,300.0
2027-01-22,January 2027,Utilities,Water bill,450.0
2027-01-25,January 2027,Entertainment,Streaming subscription,199.0
2027-01-28,January 2027,Food,Dinner out with friends,680.0
2027-02-02,February 2027,Food,Groceries at supermarket,1500.0
2027-02-04,February 2027,Transportation,Grab ride to campus,220.0
2027-02-06,February 2027,Savings,Transfer to savings account,3500.0
2027-02-09,February 2027,Utilities,Electricity bill,950.0
2027-02-11,February 2027,Food,Lunch with classmates,300.0
2027-02-14,February 2027,Entertainment,Valentine's dinner,850.0
2027-02-17,February 2027,Miscellaneous,Printing and photocopy,120.0
2027-02-19,February 2027,Transportation,Jeepney fare for the week,300.0
2027-02-21,February 2027,Food,Weekly groceries,1350.0
2027-02-24,February 2027,Utilities,Water bill,470.0
